lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L059,CB08_I01,"content/items/stand-by/Referentes PEI/CB08_I01.json","",gestion,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L026; no se reprocesa en L059.",false
L059,CB08_I02,"content/items/stand-by/Referentes PEI/CB08_I02.json","content/restructuring-v1/docente/gestion/por_confirmar/funcional/CB08_I02.json",gestion,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L026; no se reprocesa en L059.",false
L059,CB08_I03,"content/items/stand-by/Referentes PEI/CB08_I03.json","content/restructuring-v1/docente/gestion/por_confirmar/funcional/CB08_I03.json",gestion,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L026; no se reprocesa en L059.",false
L059,CEOL_B05_I01,"content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I01.json","",pedagogia,por_confirmar,basica,DESCARTAR,"Se resuelve por clasificación conceptual entre currículo oficial, oculto y nulo; no exige lectura institucional ni decisión docente observable.",false
L059,CEOL_B05_I02,"content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I02.json","",gestion,por_confirmar,basica,DESCARTAR,"Aunque usa un contexto institucional, la tarea real es recordar la jerarquía documental entre PEI y Manual de Convivencia, con clave demasiado visible.",false
L059,CEOL_B05_I03,"content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I03.json","",gestion,por_confirmar,basica,DESCARTAR,"Convierte la articulación PEI-currículo-manual en taxonomía memorística de funciones, sin una decisión institucional situada que discrimine juicio profesional.",false
L059,GA02_B05_I01,"content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I01_concepto_curriculo.json","",pedagogia,por_confirmar,basica,DESCARTAR,"Define currículo educativo en términos literales de Ley 115; no aporta valor funcional docente ni lectura crítica real.",false
L059,GA02_B05_I02,"content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I02_curriculo_oficial.json","",pedagogia,por_confirmar,basica,DESCARTAR,"La respuesta depende de distinguir currículo oficial frente a etiquetas cercanas, pero la operación mental sigue siendo reconocimiento doctrinal y no decisión curricular situada.",false
L059,GA02_B05_I03,"content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I03_curriculo_oculto.json","",pedagogia,por_confirmar,basica,DESCARTAR,"Aunque tiene un contexto de aula, termina pidiendo nombrar el currículo oculto como categoría; la taxonomía domina sobre la utilidad psicométrica para banco docente.",false
L059,GA02_B05_I04,"content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I04_curriculo_nulo.json","",pedagogia,por_confirmar,basica,DESCARTAR,"Se reduce a identificar la etiqueta de currículo nulo a partir de una definición extensa; no exige toma de decisiones curriculares ni mediación pedagógica observable.",false
