lote,id_item,ruta_origen,carpeta_origen,decision,requiere_revision_humana,justificacion,resolucion
L081,IDD_B16_I01,"content/items/stand-by/Autonomía escolar, religión, colegios privados y equidad/IDD_B16_I01.json","Autonomía escolar, religión, colegios privados y equidad",LISTO_PARA_BANCO,false,"El caso exige libertad de conciencia aplicada, proporcionalidad institucional y concertación razonable sin sacrificar la identidad escolar ni los derechos fundamentales.","Se conserva para banco."
L081,CEOL_B01_I01,"content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I01.json","Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones",DESCARTAR,false,"Se limita a recordar los ejes de la Ley 1620. Es taxonomía normativa plana sin actuación pedagógica situada.","Se descarta."
L081,CEOL_B01_I02,"content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I02.json","Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones",DESCARTAR,false,"La tarea pide el contexto histórico de creación de la ley y no una decisión profesional observable.","Se descarta."
L081,CEOL_B01_I03,"content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I03.json","Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones",DESCARTAR,false,"El ítem es clasificación literal de los componentes de la ruta integral; el caso es meramente decorativo.","Se descarta."
L081,CEOL_B01_I04,"content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I04.json","Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones",DESCARTAR,false,"Evalúa jerarquía documental y niveles del sistema, no debido proceso observable ni activación situada de rutas.","Se descarta."
L081,CEOL_B01_I05,"content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I05.json","Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones",LISTO_PARA_PILOTAJE,true,"Sí presenta un conflicto escolar real y una respuesta proporcional de mediación, aunque la clave normativa se vuelve demasiado visible frente a distractores débiles.","Se conserva para pilotaje."
L081,CEOL_B01_I06,"content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I06.json","Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones",LISTO_PARA_PILOTAJE,true,"El caso aporta activación de rutas y protección integral, pero el núcleo de medición sigue muy apoyado en clasificación normativa Tipo II versus Tipo III.","Se conserva para pilotaje."
L081,DIL_B04_I01,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I01.json","Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes",LISTO_PARA_BANCO,false,"Mide con claridad una actuación protectora, documentada y proporcional ante indicios de vulneración de derechos, evitando omisión y revictimización.","Se conserva para banco."
L081,DIL_B04_I02,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I02.json","Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes",DESCARTAR,false,"Aunque el contexto es pertinente, la tarea final es memoria legal plana sobre el principio que prohíbe tratos degradantes.","Se descarta."
L081,DIL_B04_I03,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I03.json","Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes",LISTO_PARA_BANCO,false,"Exige distinguir con buen juicio los límites de la escuela frente a presuntos delitos y prioriza reporte inmediato, protección y no revictimización.","Se conserva para banco."
L081,DIL_B04_I04,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I04.json","Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes",LISTO_PARA_PILOTAJE,true,"La respuesta correcta protege confidencialidad y ruta institucional, pero domina demasiado frente a distractores claramente excesivos o ilegales.","Se conserva para pilotaje."
L081,DIL_B04_I05,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I05.json","Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes",LISTO_PARA_BANCO,false,"Aterriza debido proceso, proporcionalidad institucional y enfoque restaurativo en una decisión disciplinaria concreta y observable.","Se conserva para banco."
