lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L035,IDD_B16_I01,"content/items/stand-by/Autonomía escolar, religión, colegios privados y equidad/IDD_B16_I01.json","content/restructuring-v1/docente/normatividad/por_confirmar/funcional/IDD_B16_I01.json",normatividad,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L003 con decision LISTO_PARA_PILOTAJE; no se reprocesa.",false
L035,CEOL_B10_I01,"content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I01.json","",normatividad,rector_director_rural,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L003 con decision DESCARTAR; no se reprocesa.",false
L035,CEOL_B10_I02,"content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I02.json","content/restructuring-v1/docente/normatividad/rector_director_rural/funcional/CEOL_B10_I02.json",normatividad,rector_director_rural,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L003 con decision LISTO_PARA_PILOTAJE; no se reprocesa.",false
L035,CEOL_B10_I03,"content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I03.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/CEOL_B10_I03.json",pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L003 con decision LISTO_PARA_PILOTAJE; no se reprocesa.",false
L035,CEOL_B10_I04,"content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I04.json","content/restructuring-v1/docente/normatividad/rector_director_rural/funcional/CEOL_B10_I04.json",normatividad,rector_director_rural,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L003 con decision LISTO_PARA_PILOTAJE; no se reprocesa.",false
L035,CEOL_B10_I05,"content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I05.json","",normatividad,rector_director_rural,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L003 con decision DESCARTAR; no se reprocesa.",false
L035,NFL_B03_I01,"content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I01.json","content/restructuring-v1/docente/normatividad/coordinador/funcional/NFL_B03_I01.json",normatividad,coordinador,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L010 con decision LISTO_PARA_PILOTAJE; no se reprocesa.",false
L035,NFL_B03_I02,"content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I02.json","content/restructuring-v1/docente/normatividad/coordinador/funcional/NFL_B03_I02.json",normatividad,coordinador,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L010 con decision LISTO_PARA_PILOTAJE; no se reprocesa.",false
L035,NFL_B03_I03,"content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I03.json","content/restructuring-v1/docente/normatividad/coordinador/funcional/NFL_B03_I03.json",normatividad,coordinador,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L010 con decision LISTO_PARA_PILOTAJE; no se reprocesa.",false
L035,NFL_B03_I04,"content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I04.json","content/restructuring-v1/docente/normatividad/coordinador/funcional/NFL_B03_I04.json",normatividad,coordinador,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L010 con decision LISTO_PARA_PILOTAJE; no se reprocesa.",false
L035,NFL_B03_I05,"content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I05.json","content/restructuring-v1/docente/normatividad/coordinador/funcional/NFL_B03_I05.json",normatividad,coordinador,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L010 con decision LISTO_PARA_PILOTAJE; no se reprocesa.",false
