lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L028,CEOL_B01_I01,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I01.json,,normatividad,coordinador,basica,DESCARTAR,Memoria literal de ejes normativos sin activacion situada de ruta,false
L028,CEOL_B01_I02,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I02.json,,normatividad,coordinador,basica,DESCARTAR,Contexto decorativo para preguntar origen de la ley sin decision profesional observable,false
L028,CEOL_B01_I03,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I03.json,,normatividad,coordinador,basica,DESCARTAR,Recuerdo de componentes de la ruta sin lectura situada del caso,false
L028,CEOL_B01_I04,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I04.json,,normatividad,coordinador,basica,DESCARTAR,Clasificacion memoristica de niveles del sistema con baja discriminacion,false
L028,CEOL_B01_I05,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I05.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/CEOL_B01_I05.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,Exige activar respuesta proporcional y pedagogica ante una situacion Tipo I,true
L028,CEOL_B01_I06,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I06.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/CEOL_B01_I06.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,Exige lectura situada de ruta de atencion y proteccion frente a hostigamiento reiterado,true
L028,DIL_B09_I01,content/items/stand-by/Trabajo infantil y edad mínima/DIL_B09_I01.json,content/restructuring-v1/docente/normatividad/orientador/funcional/DIL_B09_I01.json,normatividad,orientador,funcional,LISTO_PARA_PILOTAJE,Traduce la norma en decision de proteccion escolar ante vulneracion de derechos,true
L028,DIL_B09_I02,content/items/stand-by/Trabajo infantil y edad mínima/DIL_B09_I02.json,content/restructuring-v1/docente/normatividad/orientador/funcional/DIL_B09_I02.json,normatividad,orientador,funcional,LISTO_PARA_PILOTAJE,Evalua orientacion y seguimiento escolar en un caso permitido con condiciones,true
L028,MTV_B18_I01,content/items/stand-by/Tipos de currículo/MTV_B18_I01.json,,pedagogia,por_confirmar,basica,DESCARTAR,Clasificacion superficial de curriculo oculto con clave visible por tecnicismo,false
L028,MTV_B18_I02,content/items/stand-by/Tipos de currículo/MTV_B18_I02.json,,pedagogia,por_confirmar,basica,DESCARTAR,Definicion de curriculo oficial sin accion docente observable,false
L028,MTV_B18_I03,content/items/stand-by/Tipos de currículo/MTV_B18_I03.json,,pedagogia,por_confirmar,basica,DESCARTAR,Definicion de curriculo operacional con demanda cognitiva inflada,false
L028,MTV_B18_I04,content/items/stand-by/Tipos de currículo/MTV_B18_I04.json,,pedagogia,por_confirmar,basica,DESCARTAR,Clasificacion memoristica de curriculo nulo sin utilidad discriminativa,false
L028,MTV_B18_I05,content/items/stand-by/Tipos de currículo/MTV_B18_I05.json,,pedagogia,por_confirmar,basica,DESCARTAR,Comparacion taxonomica entre tipos de curriculo sin decision situada,false
L028,MTV_B18_I06,content/items/stand-by/Tipos de currículo/MTV_B18_I06.json,,pedagogia,por_confirmar,basica,DESCARTAR,Contexto moralmente cargado que termina preguntando solo una etiqueta,false
L028,MTV_B18_I07,content/items/stand-by/Tipos de currículo/MTV_B18_I07.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/MTV_B18_I07.json,pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,Puede corregirse como decision de flexibilizacion curricular y acceso al aprendizaje,true
L028,MTV_B18_I08,content/items/stand-by/Tipos de currículo/MTV_B18_I08.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/MTV_B18_I08.json,pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,Permite evaluar articulacion curricular entre PEI planeacion y practica institucional,true
L028,MTV_B18_I09,content/items/stand-by/Tipos de currículo/MTV_B18_I09.json,,pedagogia,por_confirmar,basica,DESCARTAR,Clasificacion de actividad extracurricular sin valor adicional de contexto,false
L028,MTV_B18_I10,content/items/stand-by/Tipos de currículo/MTV_B18_I10.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/MTV_B18_I10.json,pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,Se rescata como lectura de incoherencia entre curriculo declarado y vivido,true
L028,MTV_B18_I11,content/items/stand-by/Tipos de currículo/MTV_B18_I11.json,,pedagogia,por_confirmar,basica,DESCARTAR,Categoria poco estable y resolucion por taxonomia dudosa,false
L028,MTV_B18_I12,content/items/stand-by/Tipos de currículo/MTV_B18_I12.json,,pedagogia,por_confirmar,basica,DESCARTAR,Aunque situado sigue pidiendo nombre de principio curricular y no decision profesional,false
L028,MTV_B18_I13,content/items/stand-by/Tipos de currículo/MTV_B18_I13.json,,pedagogia,por_confirmar,basica,DESCARTAR,Inconsistencia entre clave justificacion y funcion distractora ademas de exceso declarativo,false
L028,MTV_B18_I14,content/items/stand-by/Tipos de currículo/MTV_B18_I14.json,,pedagogia,por_confirmar,basica,DESCARTAR,Taxonomia de tipos de curriculo en bloque con dificultad artificial,false
