lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L055,PPDC_B01_I01,"content/items/stand-by/Práctica pedagógica no homogeneizadora y diversidad/PPDC_B01_I01.json",content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/PPDC_B01_I01.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L026; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,PPDC_B01_I02,"content/items/stand-by/Práctica pedagógica no homogeneizadora y diversidad/PPDC_B01_I02.json",,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L026; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,PPDC_B01_I03,"content/items/stand-by/Práctica pedagógica no homogeneizadora y diversidad/PPDC_B01_I03.json",,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L026; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,PPDC_B01_I04,"content/items/stand-by/Práctica pedagógica no homogeneizadora y diversidad/PPDC_B01_I04.json",,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L026; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,GA02_B03_I01,"content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I01.json",content/restructuring-v1/docente/pedagogia/basica_primaria/funcional/GA02_B03_I01.json,pedagogia,basica_primaria,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L012; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,GA02_B03_I02,"content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I02.json",content/restructuring-v1/docente/pedagogia/basica_primaria/funcional/GA02_B03_I02.json,pedagogia,basica_primaria,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L012; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,GA02_B03_I03,"content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I03.json",content/restructuring-v1/docente/pedagogia/orientador/funcional/GA02_B03_I03.json,pedagogia,orientador,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L012; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,GA02_B03_I04,"content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I04.json",content/restructuring-v1/docente/pedagogia/basica_primaria/comportamental/GA02_B03_I04.json,pedagogia,basica_primaria,comportamental,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L012; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,IDD_B06_I01,"content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I01.json",content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B06_I01.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L020; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,IDD_B06_I02,"content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I02.json",content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B06_I02.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L020; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,IDD_B06_I03,"content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I03.json",,competencias_ciudadanas,por_confirmar,comportamental,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L020; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,IDD_B06_I04,"content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I04.json",,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L020; se conserva la trazabilidad previa y no se reprocesa en L055.",false
L055,IDD_B06_I05,"content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I05.json",content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B06_I05.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L020; se conserva la trazabilidad previa y no se reprocesa en L055.",false
