lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L013-A,IDD_B05_I01,content/items/stand-by/Docente de apoyo, orientador y valoración pedagógica/IDD_B05_I01.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B05_I01.json,pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Recuperable; diferencia el rol pedagógico del docente de apoyo frente a funciones clínicas o segregadoras.",true
L013-A,IDD_B05_I02,content/items/stand-by/Docente de apoyo, orientador y valoración pedagógica/IDD_B05_I02.json,content/restructuring-v1/docente/gestion/coordinador/funcional/IDD_B05_I02.json,gestion,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable; exige priorizar una estrategia institucional de accesibilidad y apoyos, no una respuesta individual aislada.",false
L013-A,IDD_B05_I03,content/items/stand-by/Docente de apoyo, orientador y valoración pedagógica/IDD_B05_I03.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B05_I03.json,pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Recuperable; aclara que la valoración pedagógica orienta planeación y apoyos sin reemplazar diagnóstico clínico.",true
L013-A,IDD_B05_I04,content/items/stand-by/Docente de apoyo, orientador y valoración pedagógica/IDD_B05_I04.json,content/restructuring-v1/docente/gestion/coordinador/funcional/IDD_B05_I04.json,gestion,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable; trabaja articulación institucional y seguimiento del PIAR con decisión de proceso clara.",false
L013-A,NFL_B07_I02,content/items/stand-by/Educación como derecho fundamental, bien común y derecho pluridimensional/NFL_B07_I02.json,,normatividad,por_confirmar,basica,DESCARTAR,"Se reduce a definición de las 4A y a memoria conceptual; el contexto no produce juicio profesional suficiente.",false
L013-A,NFL_B07_I03,content/items/stand-by/Educación como derecho fundamental, bien común y derecho pluridimensional/NFL_B07_I03.json,,normatividad,por_confirmar,basica,DESCARTAR,"La situación es decorativa y la respuesta depende de una explicación doctrinal general sobre bien común, no de una decisión situada.",false
L013-A,NFL_B07_I04,content/items/stand-by/Educación como derecho fundamental, bien común y derecho pluridimensional/NFL_B07_I04.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/NFL_B07_I04.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable; convierte el derecho a la educación en gestión de barreras reales de permanencia y participación.",false
L013-A,CEOL_B02_I01,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I01.json,content/restructuring-v1/docente/competencias_ciudadanas/coordinador/comportamental/CEOL_B02_I01.json,competencias_ciudadanas,coordinador,comportamental,LISTO_PARA_PILOTAJE,"Recuperable tras ajuste; la gestión disciplinaria se reubica como juicio situado sobre respuesta proporcional y pedagógica.",false
L013-A,CEOL_B02_I02,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I02.json,,competencias_ciudadanas,por_confirmar,basica,DESCARTAR,"Pregunta una definición práctica de sujeto de derechos pero no exige decisión profesional real; distractores demasiado obvios.",false
L013-A,CEOL_B02_I03,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I03.json,,normatividad,por_confirmar,basica,DESCARTAR,"Depende de recordar la prevalencia constitucional de derechos de NNA y no discrimina bien en contexto laboral escolar.",false
L013-B,CEOL_B02_I04,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I04.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/CEOL_B02_I04.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable; permite evaluar tipicidad y legalidad previa en una decisión disciplinaria escolar.",false
L013-B,CEOL_B02_I05,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I05.json,content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/CEOL_B02_I05.json,competencias_ciudadanas,por_confirmar,comportamental,LISTO_PARA_PILOTAJE,"Recuperable; se conserva como juicio restaurativo situado sobre bullying, con perfil aún por confirmar.",true
L013-B,CEOL_B02_I06,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I06.json,content/restructuring-v1/docente/gestion/coordinador/funcional/CEOL_B02_I06.json,gestion,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable; trabaja actualización del Manual de Convivencia como instrumento pedagógico y restaurativo.",false
