lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L032,GA02_B05_I01,content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I01_concepto_curriculo.json,,pedagogia,por_confirmar,basica,DESCARTAR,Memoria definicional del concepto legal de curriculo sin interpretacion institucional o pedagogica,false
L032,GA02_B05_I02,content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I02_curriculo_oficial.json,,pedagogia,por_confirmar,basica,DESCARTAR,Clasificacion del curriculo oficial por nombre tecnico y sin tarea profesional observable,false
L032,GA02_B05_I03,content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I03_curriculo_oculto.json,,pedagogia,por_confirmar,basica,DESCARTAR,Duplica una version mas debil de items curriculares ya mejor auditados sobre curriculo oculto y se resuelve por etiqueta,false
L032,GA02_B05_I04,content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I04_curriculo_nulo.json,,pedagogia,por_confirmar,basica,DESCARTAR,Duplica una version mas debil de curriculum nulo ya cubierta por un item mas fuerte en auditorias previas,false
L032,MTV_B18_I01,content/items/stand-by/Tipos de currículo/MTV_B18_I01.json,,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I02,content/items/stand-by/Tipos de currículo/MTV_B18_I02.json,,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I03,content/items/stand-by/Tipos de currículo/MTV_B18_I03.json,,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I04,content/items/stand-by/Tipos de currículo/MTV_B18_I04.json,,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I05,content/items/stand-by/Tipos de currículo/MTV_B18_I05.json,,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I06,content/items/stand-by/Tipos de currículo/MTV_B18_I06.json,,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I07,content/items/stand-by/Tipos de currículo/MTV_B18_I07.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/MTV_B18_I07.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I08,content/items/stand-by/Tipos de currículo/MTV_B18_I08.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/MTV_B18_I08.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I09,content/items/stand-by/Tipos de currículo/MTV_B18_I09.json,,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I10,content/items/stand-by/Tipos de currículo/MTV_B18_I10.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/MTV_B18_I10.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I11,content/items/stand-by/Tipos de currículo/MTV_B18_I11.json,,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I12,content/items/stand-by/Tipos de currículo/MTV_B18_I12.json,,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I13,content/items/stand-by/Tipos de currículo/MTV_B18_I13.json,,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,MTV_B18_I14,content/items/stand-by/Tipos de currículo/MTV_B18_I14.json,,pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L028; se conserva la trazabilidad previa y no se reprocesa,false
L032,IDD_B15_I01,content/items/stand-by/Currículo oficial, oculto, nulo, PEI y DUR 1075/IDD_B15_I01.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B15_I01.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L008 y conservado en L029 como trazabilidad previa,false
L032,IDD_B15_I02,content/items/stand-by/Currículo oficial, oculto, nulo, PEI y DUR 1075/IDD_B15_I02.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B15_I02.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L008 y conservado en L029 como trazabilidad previa,false
L032,IDD_B15_I03,content/items/stand-by/Currículo oficial, oculto, nulo, PEI y DUR 1075/IDD_B15_I03.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B15_I03.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L008 y conservado en L029 como trazabilidad previa,false
L032,IDD_B15_I04,content/items/stand-by/Currículo oficial, oculto, nulo, PEI y DUR 1075/IDD_B15_I04.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B15_I04.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L008 y conservado en L029 como trazabilidad previa,false
L032,IDD_B15_I06,content/items/stand-by/Currículo oficial, oculto, nulo, PEI y DUR 1075/IDD_B15_I06.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B15_I06.json,pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,Item ya auditado en L008 y conservado en L029 como trazabilidad previa,false
