lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L027,DIL_B04_I01,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I01.json","content/restructuring-v1/docente/normatividad/por_confirmar/funcional/DIL_B04_I01.json",normatividad,por_confirmar,funcional,LISTO_PARA_BANCO,"Exige actuacion situada de proteccion y activacion de ruta; no depende de memoria generica de deberes.",false
L027,DIL_B04_I02,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I02.json","",normatividad,por_confirmar,basica,DESCARTAR,"Se resuelve por recuerdo del principio juridico que prohíbe tratos degradantes y no por una decision profesional observable.",false
L027,DIL_B04_I03,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I03.json","content/restructuring-v1/docente/normatividad/orientador/funcional/DIL_B04_I03.json",normatividad,orientador,funcional,LISTO_PARA_PILOTAJE,"El caso es pertinente y situado, pero la clave sigue demasiado visible frente a distractores juridicamente debiles.",true
L027,DIL_B04_I04,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I04.json","content/restructuring-v1/docente/normatividad/por_confirmar/funcional/DIL_B04_I04.json",normatividad,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Buena tarea sobre confidencialidad y proteccion, aunque con opciones incorrectas demasiado extremas.",true
L027,DIL_B04_I05,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I05.json","content/restructuring-v1/docente/normatividad/por_confirmar/comportamental/DIL_B04_I05.json",normatividad,por_confirmar,comportamental,LISTO_PARA_PILOTAJE,"Mide respuesta formativa no degradante, pero conserva una clave muy previsible ante distractores poco competitivos.",true
L027,CEOL_B03_I01,"content/items/stand-by/Rol, funciones y límites del orientador escolar/CEOL_B03_I01.json","content/restructuring-v1/docente/pedagogia/orientador/funcional/CEOL_B03_I01.json",pedagogia,orientador,funcional,LISTO_PARA_PILOTAJE,"Aclara corresponsabilidad institucional y rol asesor del orientador, pero la opcion correcta sigue sobreevidente.",true
L027,CEOL_B03_I02,"content/items/stand-by/Rol, funciones y límites del orientador escolar/CEOL_B03_I02.json","content/restructuring-v1/docente/normatividad/orientador/funcional/CEOL_B03_I02.json",normatividad,orientador,funcional,LISTO_PARA_BANCO,"Diferencia con claridad la activacion de ruta frente a la investigacion impropia del orientador y evita la confusion clinica o disciplinaria.",false
L027,CEOL_B03_I05,"content/items/stand-by/Rol, funciones y límites del orientador escolar/CEOL_B03_I05.json","content/restructuring-v1/docente/gestion/orientador/funcional/CEOL_B03_I05.json",gestion,orientador,funcional,LISTO_PARA_BANCO,"Delimita bien el rol del orientador frente a la intervencion clinica y modela un error institucional plausible.",false
L027,IDD_B01_I01,"content/items/stand-by/Sesgos culturales, lenguaje inclusivo y discriminación cotidiana/IDD_B01_I01.json","",competencias_ciudadanas,por_confirmar,basica,DESCARTAR,"El caso es reconocible, pero la respuesta correcta depende de una salida moral y los distractores son caricaturescos o patologizantes.",false
L027,IDD_B01_I02,"content/items/stand-by/Sesgos culturales, lenguaje inclusivo y discriminación cotidiana/IDD_B01_I02.json","content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/IDD_B01_I02.json",competencias_ciudadanas,por_confirmar,comportamental,LISTO_PARA_PILOTAJE,"La mediacion docente es defendible, aunque la clave sigue bastante obvia por la baja plausibilidad de dos distractores.",true
