lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L001,CB05_I02,"content/items/stand-by/Comunicación asertiva/CB05_I02.json","content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/CB05_I02.json",competencias_ciudadanas,por_confirmar,comportamental,LISTO_PARA_BANCO,"Escenario conductual sólido; perfil transversal aún no confirmable con seguridad.",true
L001,PPDC_B05_I01,"content/items/stand-by/Diagnóstico pedagógico en educación primaria/PPDC_B05_I01.json","content/restructuring-v1/docente/pedagogia/basica_primaria/funcional/PPDC_B05_I01.json",pedagogia,basica_primaria,funcional,LISTO_PARA_BANCO,"Buen alineamiento con diagnóstico formativo en primaria y tarea aplicada al rol.",false
L001,CB08_I01,"content/items/stand-by/Referentes PEI/CB08_I01.json","content/restructuring-v1/docente/gestion/rector_director_rural/funcional/CB08_I01.json",gestion,rector_director_rural,funcional,LISTO_PARA_PILOTAJE,"Útil para gestión institucional, pero con discriminación esperada baja y distractores mejorables.",false
L001,IDD_B01_I01,"content/items/stand-by/Sesgos culturales, lenguaje inclusivo y discriminación cotidiana/IDD_B01_I01.json","content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/IDD_B01_I01.json",competencias_ciudadanas,por_confirmar,comportamental,LISTO_PARA_BANCO,"Buen juicio situacional sobre sesgo cotidiano; perfil sigue transversal.",true
L001,NFL_B07_I01,"content/items/stand-by/Educación como derecho fundamental, bien común y derecho pluridimensional/NFL_B07_I01.json","content/restructuring-v1/docente/normatividad/por_confirmar/funcional/NFL_B07_I01.json",normatividad,por_confirmar,funcional,LISTO_PARA_BANCO,"La tarea real exige aplicar el derecho a una decisión institucional, no solo recordarlo.",true
L001,CEOL_B07_I01,"content/items/stand-by/Ideas previas, conflicto cognitivo y desarrollo constructivista/CEOL_B07_I01.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/CEOL_B07_I01.json",pedagogia,por_confirmar,funcional,LISTO_PARA_BANCO,"Ítem funcional bien alineado con decisión didáctica basada en ideas previas.",true
L001,EIP_B04_I01,"content/items/stand-by/Identidad, autonomía y reconocimiento del cuerpo/EIP_B04_I01.json","content/restructuring-v1/docente/pedagogia/preescolar/basica/EIP_B04_I01.json",pedagogia,preescolar,basica,LISTO_PARA_PILOTAJE,"Aporta al banco preescolar, pero depende demasiado de reconocimiento de formulación normativa.",false
L001,NFL_B08_I01,"content/items/stand-by/Igualdad material, discriminación positiva y debilidad manifiesta/NFL_B08_I01.json","content/restructuring-v1/docente/normatividad/por_confirmar/funcional/NFL_B08_I01.json",normatividad,por_confirmar,funcional,LISTO_PARA_BANCO,"Buen uso aplicado del principio de igualdad material con enfoque de barreras.",true
L001,PPDC_B06_I01,"content/items/stand-by/Normatividad, fines de la educación y educación no formal/PPDC_B06_I01.json","content/restructuring-v1/docente/normatividad/por_confirmar/funcional/PPDC_B06_I01.json",normatividad,por_confirmar,funcional,LISTO_PARA_BANCO,"La tarea es justificar una decisión curricular institucional con base normativa.",true
L001,PPDC_B06_I02,"content/items/stand-by/Normatividad, fines de la educación y educación no formal/PPDC_B06_I02.json","content/restructuring-v1/docente/normatividad/por_confirmar/basica/PPDC_B06_I02.json",normatividad,por_confirmar,basica,LISTO_PARA_BANCO,"Clasificación normativa clara y útil como soporte conceptual del banco.",true
L001,DIL_B02_I01,"content/items/stand-by/PARD y restablecimiento de derechos/DIL_B02_I01.json","content/restructuring-v1/docente/normatividad/orientador/basica/DIL_B02_I01.json",normatividad,orientador,basica,LISTO_PARA_PILOTAJE,"Pertinente para orientación, pero demasiado apoyado en recuerdo de sigla y definición.",false
L001,PPDC_B04_I01,"content/items/stand-by/Praxis pedagógica, didáctica y selección metodológica/PPDC_B04_I01.json","content/restructuring-v1/docente/pedagogia/por_confirmar/basica/PPDC_B04_I01.json",pedagogia,por_confirmar,basica,LISTO_PARA_BANCO,"Buena diferenciación conceptual entre pedagogía y didáctica; perfil específico no es inferible.",true
