lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L012,IDD_B12_I01,content/items/stand-by/Didáctica de áreas\, resolución de problemas y material concreto/IDD_B12_I01.json,content/restructuring-v1/docente/pedagogia/secundaria_media/funcional/IDD_B12_I01.json,pedagogia,secundaria_media,funcional,LISTO_PARA_BANCO,Ítem contextualizado con resolución de problemas auténtica y distractores funcionales,false
L012,IDD_B12_I02,content/items/stand-by/Didáctica de áreas\, resolución de problemas y material concreto/IDD_B12_I02.json,content/restructuring-v1/docente/pedagogia/basica_primaria/funcional/IDD_B12_I02.json,pedagogia,basica_primaria,funcional,LISTO_PARA_BANCO,Integra evaluación formativa y material concreto con mediación pertinente,false
L012,IDD_B12_I03,content/items/stand-by/Didáctica de áreas\, resolución de problemas y material concreto/IDD_B12_I03.json,content/restructuring-v1/docente/pedagogia/secundaria_media/funcional/IDD_B12_I03.json,pedagogia,secundaria_media,funcional,LISTO_PARA_BANCO,Contextualización científica auténtica y toma de decisiones didácticas,false
L012,IDD_B12_I04,content/items/stand-by/Didáctica de áreas\, resolución de problemas y material concreto/IDD_B12_I04.json,content/restructuring-v1/docente/pedagogia/basica_primaria/funcional/IDD_B12_I04.json,pedagogia,basica_primaria,funcional,LISTO_PARA_PILOTAJE,Opciones técnicamente fuertes pero con ligera sobreextensión conceptual en la clave,true
L012,IDD_B12_I05,content/items/stand-by/Didáctica de áreas\, resolución de problemas y material concreto/IDD_B12_I05.json,content/restructuring-v1/docente/pedagogia/secundaria_media/funcional/IDD_B12_I05.json,pedagogia,secundaria_media,funcional,LISTO_PARA_BANCO,Planeación didáctica basada en barreras reales y criterios contextualizados,false
L012,GA02_B03_I01,content/items/stand-by/Didáctica\, diversidad y planeación de aula/GA02_B03_I01.json,content/restructuring-v1/docente/pedagogia/basica_primaria/funcional/GA02_B03_I01.json,pedagogia,basica_primaria,funcional,LISTO_PARA_BANCO,Aplicación situada del DUA sin memoria normativa literal,false
L012,GA02_B03_I02,content/items/stand-by/Didáctica\, diversidad y planeación de aula/GA02_B03_I02.json,content/restructuring-v1/docente/pedagogia/basica_primaria/funcional/GA02_B03_I02.json,pedagogia,basica_primaria,funcional,LISTO_PARA_BANCO,Flexibilización pedagógica situada y distractores discriminativos,false
L012,GA02_B03_I03,content/items/stand-by/Didáctica\, diversidad y planeación de aula/GA02_B03_I03.json,content/restructuring-v1/docente/pedagogia/orientador/funcional/GA02_B03_I03.json,pedagogia,orientador,funcional,LISTO_PARA_PILOTAJE,Requiere segunda revisión de precisión procedimental sobre PIAR y corresponsabilidad,true
L012,GA02_B03_I04,content/items/stand-by/Didáctica\, diversidad y planeación de aula/GA02_B03_I04.json,content/restructuring-v1/docente/pedagogia/basica_primaria/comportamental/GA02_B03_I04.json,pedagogia,basica_primaria,comportamental,LISTO_PARA_BANCO,Integra interculturalidad y clima de aula con decisión pedagógica auténtica,false
L012,DIL_B10_I01,content/items/stand-by/Dignidad humana\, equidad y columna vertebral del Código de Infancia/DIL_B10_I01.json,content/restructuring-v1/docente/normatividad/orientador/funcional/DIL_B10_I01.json,normatividad,orientador,funcional,LISTO_PARA_BANCO,Aplica derechos de infancia a una decisión disciplinaria concreta,false
L012,IDD_B18_I01,content/items/stand-by/Dignidad humana\, equidad y columna vertebral del Código de Infancia/IDD_B18_I01.json,content/restructuring-v1/docente/normatividad/orientador/funcional/IDD_B18_I01.json,normatividad,orientador,funcional,LISTO_PARA_BANCO,Activa rutas de protección mediante situación verosímil y situada,false
L012,IDD_B18_I04,content/items/stand-by/Dignidad humana\, equidad y columna vertebral del Código de Infancia/IDD_B18_I04.json,content/restructuring-v1/docente/normatividad/orientador/funcional/IDD_B18_I04.json,normatividad,orientador,funcional,LISTO_PARA_PILOTAJE,Distractor policial extremo reduce plausibilidad comparativa,true
