lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L017,CB15_I02,"content/items/stand-by/Fases enseñanza/CB15_I02.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/CB15_I02.json",pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Mide activacion de saberes previos con tarea observable, pero la clave sigue muy evidente y requiere pilotaje de discriminacion.",true
L017,CB15_I03,"content/items/stand-by/Fases enseñanza/CB15_I03.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/CB15_I03.json",pedagogia,por_confirmar,funcional,LISTO_PARA_BANCO,"Buen juicio didactico sobre mediacion docente; la tarea no depende de recitar fases sino de elegir una actuacion pedagogica.",true
L017,CB15_I04,"content/items/stand-by/Fases enseñanza/CB15_I04.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/CB15_I04.json",pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"El cierre por transferencia esta bien orientado, pero el patron correcto sigue siendo demasiado transparente frente a distractores debiles.",true
L017,NFL_B01_I01,"content/items/stand-by/Formación integral, fines de la educación y desarrollo de la personalidad/NFL_B01_I01.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/NFL_B01_I01.json",pedagogia,por_confirmar,funcional,LISTO_PARA_BANCO,"La decision curricular es aplicada y defendible; no depende del recuerdo literal de un fin legal.",true
L017,NFL_B01_I02,"content/items/stand-by/Formación integral, fines de la educación y desarrollo de la personalidad/NFL_B01_I02.json","",normatividad,por_confirmar,basica,DESCARTAR,"La clave depende de reconocimiento casi textual del fin legal y los distractores no modelan errores docentes observables.",false
L017,NFL_B01_I03,"content/items/stand-by/Formación integral, fines de la educación y desarrollo de la personalidad/NFL_B01_I03.json","",normatividad,por_confirmar,basica,DESCARTAR,"Pregunta de listado normativo con memoria literal y distractores caricaturescos; aporta poca evidencia de competencia profesional.",false
L017,NFL_B01_I04,"content/items/stand-by/Formación integral, fines de la educación y desarrollo de la personalidad/NFL_B01_I04.json","content/restructuring-v1/docente/gestion/por_confirmar/funcional/NFL_B01_I04.json",gestion,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"La inconsistencia entre PEI y practica institucional es relevante, pero aun conviene pilotear por la obviedad relativa de la opcion correcta.",true
L017,NFL_B01_I05,"content/items/stand-by/Formación integral, fines de la educación y desarrollo de la personalidad/NFL_B01_I05.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/NFL_B01_I05.json",pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Escenario valioso para reorientacion curricular, aunque necesita comprobar mejor discriminacion frente a distractores muy extremos.",true
L017,CEOL_B09_I01,"content/items/stand-by/Gestión de aula, lectura, creatividad y honestidad académica/CEOL_B09_I01.json","content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/CEOL_B09_I01.json",competencias_ciudadanas,por_confirmar,comportamental,LISTO_PARA_BANCO,"Mide una decision de convivencia observable y evita el moralismo obvio mediante enfoque restaurativo defendible.",true
L017,CEOL_B09_I02,"content/items/stand-by/Gestión de aula, lectura, creatividad y honestidad académica/CEOL_B09_I02.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/CEOL_B09_I02.json",pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"La tarea es pertinente para creatividad y pensamiento critico, pero los distractores siguen poco competitivos y conviene pilotear.",true
