lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L021,MTV_B31_I01,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I01.json,content/restructuring-v1/docente/normatividad/por_confirmar/basica/MTV_B31_I01.json,normatividad,por_confirmar,basica,DESCARTAR,"Pregunta definicion literal de jornada escolar. El contexto es decorativo y la discriminacion real es baja.",false
L021,MTV_B31_I02,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I02.json,content/restructuring-v1/docente/normatividad/por_confirmar/basica/MTV_B31_I02.json,normatividad,por_confirmar,basica,DESCARTAR,"La clave depende de recordar el concepto de jornada laboral docente y sus componentes, sin decision profesional observable.",false
L021,MTV_B31_I03,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I03.json,content/restructuring-v1/docente/normatividad/por_confirmar/basica/MTV_B31_I03.json,normatividad,por_confirmar,basica,DESCARTAR,"Item de clasificacion conceptual sobre asignacion academica. No supera umbral de utilidad para banco.",false
L021,MTV_B31_I04,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I04.json,content/restructuring-v1/docente/normatividad/por_confirmar/basica/MTV_B31_I04.json,normatividad,por_confirmar,basica,DESCARTAR,"Pseudoaplicacion normativa: solo pide reconocer obligatoriedad de actividades complementarias.",false
L021,MTV_B31_I05,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I05.json,content/restructuring-v1/docente/normatividad/por_confirmar/basica/MTV_B31_I05.json,normatividad,por_confirmar,basica,DESCARTAR,"Comparacion declarativa entre jornada escolar y jornada laboral con distractores demasiado extremos.",false
L021,MTV_B31_I06,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I06.json,content/restructuring-v1/docente/normatividad/por_confirmar/basica/MTV_B31_I06.json,normatividad,por_confirmar,basica,DESCARTAR,"Clasificacion de actividades complementarias basada en memoria normativa; no exige accion profesional situada.",false
L021,MTV_B31_I07,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I07.json,content/restructuring-v1/docente/gestion/por_confirmar/funcional/MTV_B31_I07.json,gestion,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Se rescata porque obliga a decidir la asignacion academica con criterio de idoneidad y necesidades del servicio, no solo a repetir definiciones.",true
L021,MTV_B31_I08,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I08.json,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/MTV_B31_I08.json,normatividad,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Caso situado sobre deber de cuidado durante el descanso escolar. Requiere validacion humana de perfil y fuerza distractora.",true
L021,MTV_B31_I09,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I09.json,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/MTV_B31_I09.json,normatividad,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Aporta decision profesional observable sobre no dejar un grupo sin supervision; queda para pilotaje por cercania con memoria de garante.",true
L021,MTV_B31_I10,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I10.json,content/restructuring-v1/docente/normatividad/por_confirmar/basica/MTV_B31_I10.json,normatividad,por_confirmar,basica,DESCARTAR,"Aunque usa cita situacional, la tarea real es recordar que la asignacion academica no agota la jornada laboral.",false
L021,MTV_B31_I11,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I11.json,content/restructuring-v1/docente/gestion/por_confirmar/funcional/MTV_B31_I11.json,gestion,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Se conserva por su foco en finalidad institucional de organizar tiempos, aunque necesita endurecer distractores y validar taxonomia.",true
L021,MTV_B31_I12,content/items/stand-by/Jornada escolar, horario laboral y asignación académica/MTV_B31_I12.json,content/restructuring-v1/docente/normatividad/por_confirmar/basica/MTV_B31_I12.json,normatividad,por_confirmar,basica,DESCARTAR,"Sintesis de definiciones legales con distractores caricaturescos. Baja discriminacion para banco.",false
L021,PPDC_B02_I01,content/items/stand-by/Manejo del error y clima afectivo/PPDC_B02_I01.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/PPDC_B02_I01.json,pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Decision didactica observable frente al error conceptual; recuperable con ajuste menor y confirmacion humana de clasificacion.",true
L021,PPDC_B02_I02,content/items/stand-by/Manejo del error y clima afectivo/PPDC_B02_I02.json,content/restructuring-v1/docente/pedagogia/por_confirmar/comportamental/PPDC_B02_I02.json,pedagogia,por_confirmar,comportamental,LISTO_PARA_PILOTAJE,"Integra clima afectivo y reconstruccion del error; requiere pilotaje para confirmar comportamiento distractor y categoria.",true
L021,IDD_B02_I03,content/items/stand-by/Marco constitucional, legal y jurisprudencial de inclusión/IDD_B02_I03.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B02_I03.json,pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Convierte inclusion en transformacion del entorno escolar y no en etiqueta juridica plana; queda en pilotaje por refinamiento taxonomico.",true
L021,IDD_B02_I05,content/items/stand-by/Marco constitucional, legal y jurisprudencial de inclusión/IDD_B02_I05.json,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/IDD_B02_I05.json,normatividad,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Pregunta defendible porque traduce el marco inclusivo en una decision institucional de acceso y ajustes razonables.",true
