lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
"L020-A","IDD_B06_I01","content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I01.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B06_I01.json","pedagogia","por_confirmar","funcional","LISTO_PARA_PILOTAJE","Distingue inclusión real de ocupación segregada, pero la clave conserva alta visibilidad por distractores extremos.","false"
"L020-A","IDD_B06_I02","content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I02.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B06_I02.json","pedagogia","por_confirmar","funcional","LISTO_PARA_PILOTAJE","Exige decisión didáctica observable con DUA, aunque la opción correcta resalta demasiado frente a distractores poco competidores.","false"
"L020-A","IDD_B06_I03","content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I03.json","","competencias_ciudadanas","por_confirmar","comportamental","DESCARTAR","El juicio esperado es valioso, pero los distractores son demasiado moralizantes y el caso queda más cerca de reacción obvia que de discriminación fina.","false"
"L020-A","IDD_B06_I04","content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I04.json","","pedagogia","por_confirmar","basica","DESCARTAR","Se resuelve por definición prácticamente literal de inclusión efectiva y no por una decisión docente observable.","false"
"L020-A","IDD_B06_I05","content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I05.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B06_I05.json","pedagogia","por_confirmar","funcional","LISTO_PARA_BANCO","Formula una decisión evaluativa clara sobre ajustes razonables sin bajar expectativas ni desplazar el aprendizaje esperado.","false"
"L020-A","IDD_B07_I01","content/items/stand-by/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I01.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B07_I01.json","pedagogia","por_confirmar","funcional","LISTO_PARA_BANCO","Aborda equidad socioeconómica sin culpabilizar al estudiante y exige una respuesta pedagógica operativa y defendible.","false"
"L020-A","IDD_B07_I02","content/items/stand-by/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I02.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B07_I02.json","pedagogia","por_confirmar","funcional","LISTO_PARA_PILOTAJE","Recupera la idea correcta de adaptabilidad curricular, pero el contraste sigue siendo más doctrinal que situacional.","false"
"L020-A","IDD_B07_I03","content/items/stand-by/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I03.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B07_I03.json","pedagogia","por_confirmar","funcional","LISTO_PARA_BANCO","Convierte la accesibilidad en una decisión institucional observable y no en un recordatorio declarativo de inclusión.","false"
"L020-A","IDD_B07_I04","content/items/stand-by/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I04.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B07_I04.json","pedagogia","por_confirmar","funcional","LISTO_PARA_BANCO","Sostiene equidad socioeconómica con confidencialidad y acompañamiento, evitando tanto sanción como paternalismo improductivo.","false"
"L020-A","IDD_B09_I01","content/items/stand-by/Inteligencia, inteligencias múltiples y didáctica heterogénea/IDD_B09_I01.json","","pedagogia","por_confirmar","basica","DESCARTAR","Mide definición conceptual de inteligencia en enfoque por competencias y no una decisión docente o evidencia de desempeño situada.","false"
"L020-B","IDD_B09_I02","content/items/stand-by/Inteligencia, inteligencias múltiples y didáctica heterogénea/IDD_B09_I02.json","","pedagogia","por_confirmar","funcional","DESCARTAR","Descansa en la teoría de inteligencias múltiples de forma superficial y tipológica, con riesgo de pseudoteoría más que de juicio didáctico robusto.","false"
"L020-B","IDD_B09_I03","content/items/stand-by/Inteligencia, inteligencias múltiples y didáctica heterogénea/IDD_B09_I03.json","","pedagogia","por_confirmar","basica","DESCARTAR","Es una asociación casi memorística entre actividad y tipo de inteligencia; no exige decisión docente observable.","false"
"L020-B","IDD_B09_I04","content/items/stand-by/Inteligencia, inteligencias múltiples y didáctica heterogénea/IDD_B09_I04.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B09_I04.json","pedagogia","por_confirmar","funcional","LISTO_PARA_BANCO","El núcleo válido no es etiquetar inteligencias sino diversificar evidencias de aprendizaje manteniendo el mismo criterio de logro.","false"
