lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L077,CEOL_B05_I01,content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I01.json,,gestion,rector_director_rural,basica,DESCARTAR,"Pregunta definicion de curriculo oficial frente a curriculo oculto y nulo. El contexto institucional es decorativo y no hay decision de gestion observable.",false
L077,CEOL_B05_I02,content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I02.json,,gestion,rector_director_rural,funcional,DESCARTAR,"La tarea real es recordar la jerarquia PEI vs Manual de Convivencia. Baja discriminacion y taxonomia institucional plana.",false
L077,CEOL_B05_I03,content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I03.json,,gestion,rector_director_rural,funcional,DESCARTAR,"Se centra en clasificar funciones de PEI, curriculo y manual. No exige decision institucional autentica ni distractores finos.",false
L077,CEOL_B10_I01,content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I01.json,,normatividad,rector_director_rural,basica,DESCARTAR,"Memoria normativa casi textual sobre enfoques de Ley 1620. El caso no cambia la tarea real y el valor discriminativo es bajo.",false
L077,CEOL_B10_I02,content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I02.json,content/restructuring-v1/docente/normatividad/rector_director_rural/funcional/CEOL_B10_I02.json,normatividad,rector_director_rural,funcional,LISTO_PARA_PILOTAJE,"Buen juicio institucional sobre limites de la autonomia escolar en convivencia, aunque la clave queda por encima de distractores demasiado extremos.",true
L077,CEOL_B10_I03,content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I03.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/CEOL_B10_I03.json,pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Recuperable porque la tarea real es de practica docente y clima de aula; aun requiere revision humana de clasificacion final y calibracion distractora.",true
L077,CEOL_B10_I04,content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I04.json,content/restructuring-v1/docente/normatividad/rector_director_rural/funcional/CEOL_B10_I04.json,normatividad,rector_director_rural,funcional,LISTO_PARA_PILOTAJE,"Caso funcional defendible sobre continuidad del servicio y limites laborales, pero con clave demasiado visible y distractores desbalanceados.",true
L077,CEOL_B10_I05,content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I05.json,,normatividad,rector_director_rural,basica,DESCARTAR,"Depende de recordar cifras horarias exactas y mezcla varios cargos en opciones extensas; la dificultad proviene del recuerdo literal y la carga verbal.",false
L077,CB08_I01,content/items/stand-by/Referentes PEI/CB08_I01.json,,gestion,rector_director_rural,basica,DESCARTAR,"Se resuelve por reconocimiento directo del conjunto correcto de referentes del PEI. Distractores obvios y jerarquia documental memoristica.",false
L077,CB08_I02,content/items/stand-by/Referentes PEI/CB08_I02.json,content/restructuring-v1/docente/gestion/rector_director_rural/funcional/CB08_I02.json,gestion,rector_director_rural,funcional,LISTO_PARA_PILOTAJE,"Conserva valor por exigir lectura situada de coherencia institucional entre mision, pedagogia y convivencia, aunque la clave es demasiado notoria.",true
L077,CB08_I03,content/items/stand-by/Referentes PEI/CB08_I03.json,content/restructuring-v1/docente/gestion/rector_director_rural/funcional/CB08_I03.json,gestion,rector_director_rural,funcional,LISTO_PARA_PILOTAJE,"Aporta decision de gestion observable al alinear PMI con diagnostico, pero los distractores siguen por debajo del nivel esperado para banco.",true
