lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L037,EIP_B03_I01,"content/items/stand-by/Desarrollo integral en preescolar - cinco dimensiones/EIP_B03_I01.json",,pedagogia,preescolar,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L010; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B03_I02,"content/items/stand-by/Desarrollo integral en preescolar - cinco dimensiones/EIP_B03_I02.json","content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B03_I02.json",pedagogia,preescolar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L010; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B03_I03,"content/items/stand-by/Desarrollo integral en preescolar - cinco dimensiones/EIP_B03_I03.json","content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B03_I03.json",pedagogia,preescolar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L010; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B03_I04,"content/items/stand-by/Desarrollo integral en preescolar - cinco dimensiones/EIP_B03_I04.json","content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B03_I04.json",pedagogia,preescolar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L010; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B03_I05,"content/items/stand-by/Desarrollo integral en preescolar - cinco dimensiones/EIP_B03_I05.json","content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B03_I05.json",pedagogia,preescolar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L010; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B02_I02,"content/items/stand-by/Marco legal del preescolar y organización del nivel/EIP_B02_I02.json",,normatividad,preescolar,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L022; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B02_I03,"content/items/stand-by/Marco legal del preescolar y organización del nivel/EIP_B02_I03.json",,normatividad,preescolar,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L022; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B02_I04,"content/items/stand-by/Marco legal del preescolar y organización del nivel/EIP_B02_I04.json","content/restructuring-v1/docente/normatividad/preescolar/funcional/EIP_B02_I04.json",normatividad,preescolar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L022; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B02_I05,"content/items/stand-by/Marco legal del preescolar y organización del nivel/EIP_B02_I05.json","content/restructuring-v1/docente/normatividad/preescolar/funcional/EIP_B02_I05.json",normatividad,preescolar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L022; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B04_I01,"content/items/stand-by/Identidad, autonomía y reconocimiento del cuerpo/EIP_B04_I01.json",,pedagogia,preescolar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L019; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B04_I02,"content/items/stand-by/Identidad, autonomía y reconocimiento del cuerpo/EIP_B04_I02.json","content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B04_I02.json",pedagogia,preescolar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L019; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B04_I03,"content/items/stand-by/Identidad, autonomía y reconocimiento del cuerpo/EIP_B04_I03.json","content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B04_I03.json",pedagogia,preescolar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L019; se conserva la trazabilidad previa y no se reprocesa en L037.",false
L037,EIP_B04_I04,"content/items/stand-by/Identidad, autonomía y reconocimiento del cuerpo/EIP_B04_I04.json","content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B04_I04.json",pedagogia,preescolar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ítem ya auditado en L019; se conserva la trazabilidad previa y no se reprocesa en L037.",false
