lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L040,IDD_B09_I01,"content/items/stand-by/Inteligencia, inteligencias múltiples y didáctica heterogénea/IDD_B09_I01.json","",pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L020; no se reprocesa en L040.",false
L040,IDD_B09_I02,"content/items/stand-by/Inteligencia, inteligencias múltiples y didáctica heterogénea/IDD_B09_I02.json","",pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L020; no se reprocesa en L040.",false
L040,IDD_B09_I03,"content/items/stand-by/Inteligencia, inteligencias múltiples y didáctica heterogénea/IDD_B09_I03.json","",pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L020; no se reprocesa en L040.",false
L040,IDD_B09_I04,"content/items/stand-by/Inteligencia, inteligencias múltiples y didáctica heterogénea/IDD_B09_I04.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B09_I04.json",pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L020; no se reprocesa en L040.",false
L040,PPDC_B02_I01,"content/items/stand-by/Manejo del error y clima afectivo/PPDC_B02_I01.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/PPDC_B02_I01.json",pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L021; no se reprocesa en L040.",false
L040,PPDC_B02_I02,"content/items/stand-by/Manejo del error y clima afectivo/PPDC_B02_I02.json","content/restructuring-v1/docente/pedagogia/por_confirmar/comportamental/PPDC_B02_I02.json",pedagogia,por_confirmar,comportamental,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L021; no se reprocesa en L040.",false
L040,CEOL_B07_I01,"content/items/stand-by/Ideas previas, conflicto cognitivo y desarrollo constructivista/CEOL_B07_I01.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/CEOL_B07_I01.json",pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L018; no se reprocesa en L040.",false
L040,CEOL_B07_I02,"content/items/stand-by/Ideas previas, conflicto cognitivo y desarrollo constructivista/CEOL_B07_I02.json","content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/CEOL_B07_I02.json",pedagogia,por_confirmar,funcional,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L018; no se reprocesa en L040.",false
L040,CEOL_B07_I03,"content/items/stand-by/Ideas previas, conflicto cognitivo y desarrollo constructivista/CEOL_B07_I03.json","content/restructuring-v1/docente/pedagogia/por_confirmar/basica/CEOL_B07_I03.json",pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L018; no se reprocesa en L040.",false
L040,CEOL_B07_I04,"content/items/stand-by/Ideas previas, conflicto cognitivo y desarrollo constructivista/CEOL_B07_I04.json","content/restructuring-v1/docente/pedagogia/por_confirmar/basica/CEOL_B07_I04.json",pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L018; no se reprocesa en L040.",false
L040,CEOL_B07_I05,"content/items/stand-by/Ideas previas, conflicto cognitivo y desarrollo constructivista/CEOL_B07_I05.json","content/restructuring-v1/docente/pedagogia/por_confirmar/basica/CEOL_B07_I05.json",pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L018; no se reprocesa en L040.",false
L040,CEOL_B07_I06,"content/items/stand-by/Ideas previas, conflicto cognitivo y desarrollo constructivista/CEOL_B07_I06.json","content/restructuring-v1/docente/pedagogia/por_confirmar/basica/CEOL_B07_I06.json",pedagogia,por_confirmar,basica,OMITIDO_POR_AUDITORIA_PREVIA,"Ya auditado en L018; no se reprocesa en L040.",false
